,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_9e5a1caef45f8609,Boston,data+scientist,Leader of Foundational Data Architecture,Wayfair,NOT_FOUND,"Lead several teams to develop core data assets used by data professionals across the company, including hundreds of data scientists and thousands of analysts....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWKOYaUJfzlpbj8B4EVHsr8Rk3do3CBb7WzQD7M0cgO4MmQYBeubwD0nUaCahAaLiFiR7VY9juaicvsEnHjx5S9LMP7j1i8TBevWVfLZuuDdWZS4PDEwHDQlQn7ESmsQX6RIrZ6QM7-2xGxpbXiByzdOYXVPI8NpTo5i_7mGl89QuyBNxxcYjGkOm2BZFflzq5QwWrviedOZk7UhBa2IYJZnUu6t7hzw8La-7-052YRwNXcNXnMd7YByX6CEWZue_klXd8OyxRMEdShgz5szEjmbDBNYa_txGBsIcWotL67vq_MQWIXljfA5dnOH-ciF95w9KweXUuqLGPNcXTCBMSOM3jZS7Lfx9pZvk3Ob_0VANGf-Q_c42iVJCdW4nLKlznMETVcf2N5xJdLQ9EW93-V004TYDwJFz8wtQ8wfWbrrNNfHKiLQQZTEo6V7eyM7QilqAI8vXwj9jk9O8j9XeqZfhIe4jwEk_AAaVZo7Q1iorj5b8ZuN_z4xpYfs7sRSC8Oygl-GZqj8IQEcaopPcOkTqk2ulgkIfG8Ggj8mvrg0HLCQe5_u_J7Po9rCcf6-k=&p=0&fvj=0&vjs=3,1 day ago
2,pj_293a4f8b5ec4b382,Boston,data+scientist,Data Scientist,Securus Technologies,NOT_FOUND,"Apply available toolkits and libraries in the areas of signal processing, statistics and scientific computing, linear algebra, machine learning, and speech...","

                                    Similar jobs on Indeed pay $72,000 - $107,000 a year
",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DwFsf3EWrMNAFCNT6c7k5EAaGiPQypMemOhLF9guj5zwG4h7EGbDMp4BE0Q3fgPe1BovJN1vFN5fAAO5p1Gq7lMqyVoJFLCyKzBCF2OUaKO5YvjQ7O5B00R10vKrNSk8zpKuI0gU1fgGqgqPCYNWT62BH-8a-Pm-Eb7o7GQMD48x0tJBDRV6uIut9tg8N0Y_2IVjdWiO6m--VjooWAuQBLOTYOtORoa2LaFtqVMoj-KEOkgNF5q1RwUf-A1id5rju9-qMfV_TMmn5v2GedXJ6mv50N-6ApUAwLDMyzHHrhk97oTf5V_2h5mjLjKMuiKy16HqmSyBbDqknufc3BtNBH_i8Z1QAWC49-iyRPKm5ZoNJoEXErBmUAqGv24owz_79b0eDAs3Ldib1RhBayGP8L-TBFdArWnccg6np5yfw36cUN5StL7oNY&p=1&fvj=1&vjs=3,NOT_FOUND
3,pj_c3bc11267ccede5a,Boston,data+scientist,Data Engineer,Sea Machines Robotics Inc.,NOT_FOUND,"We’re recruiting for an experienced Data Engineer to join our team.You’re hands-on, innovative and passionate about building vast, heterogenous datasets and...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHdFIJfBLGYbx_TzBCBsgbK0Due77H36xmGRpY2MfZsPwTPTh4aSQRFNCGEArHnMvviCNe5JnuWNMqtdZcBvIfU2yZuPy0QwO0-wkoQzNojCcEfroTLtF0vikT6bN9EMogcSG1Aq6SrRcAZCVGhDs0HM_Y6g0uBzY-UUknosJgyOlvh8OH4q9rU29sw6v3fVv2Pvm_bUJeEC9IVK2CBq84k2e9QaCex75QY8pphg29fwql80faQiXnOP1dhEKgxgI_NhL38xG5boAkFDNYJFTGuf4ZGTkmgXgsN-tjZDpAZMqamUD-hIq-WStXCqh9nCk_EKXAD5SplFial7YTUX-q4hBMruH28n6HJjmQ3MRKQtX93xPyXRlmEdkumQXUkrLciPFGVCFmF2NKe0caM61XD2Np__y6yRv0HIK-mcYLhTYgGdrjEJYg&p=2&fvj=1&vjs=3,NOT_FOUND
4,pj_8394fea34eed5474,Boston,data+scientist,Machine Learning Data Scientist,Vertex Pharmaceuticals,NOT_FOUND,"You will have an exceptional opportunity to serve as a subject matter expert in machine learning applied to high-impact business questions across clinical,...","

                                    Similar jobs on Indeed pay $103,000 - $152,000 a year
",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2zBdlXLBYCaKiE4YLsYSDt3WDpBW7bNVhmTTpPhq22wAIGodpWX9UrsshCS66sm8f9lo6h_t4MslUbJnoSntyQNR8X9pFZyAI5Axr7cidNpYJzyCuaiwKq0I4AfQ0F97BQKDhF1XiTUwJeyOhooRJ-YmbJfggepffstBF4o_jwdkSX65VwbaSiYSvNBtrfgKKH0t1wxzfKUHuI5YhZEJHWkYRtjRQXQFQ-fIhcGUVxznmRykmY6qrJqlWf7FUvWS-KhWNi_PK9mxbs412f2_jFp3pKHrKGe7uaoVwzL0QUdIp5C5tjtgkVp5F625zZ0aaEcFTeyqktEYPrrPn36wPalrAVIEjc_5frexYaIqxA9JTQuW1cnhQAilxUeBFCqadRPWGvazuKQ==&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_9e7c0b5d33d35de2,Boston,data+scientist,Machine Learning Senior Data Scientist,CodaMetrix,NOT_FOUND,"The machine learning team is responsible for the invention, analysis, and deployment of new machine learning techniques using healthcare data to improve...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkmEfxfIvywYkr7FPgbbzZtS80TzOGC0Qwk8jq8kfwxcmRMEv4cXPu9-ez7TLniaT-b-2T5FmXeL4ZSK7U07sA08TdyyyIyTZepRwM7nQYfvv14p2dK1VtvzH-xMm-ISWvdlPgNC7igHAobsq4maCXVbXalcequUUPcclUIe89UZNUM67vtdDC1fxGAg3kxlpsmBdrIpeuJBsi8LNoGX-XP4rM0_yRV_Hfii9zDd9dBHB__DU1VKSzShhMraC_ajnRjvXOO-pjph3s6ewuooIXqXBK-ZS7PTHQOOwFr3IGKHwlvVHG4-TXWO2e4cdCc8IxYyv3dtL89pvJkKshDhVRUP2JpjxHdBoB4rDo7TDaiKk2Hex87Vdfu8kQQJwXv50vOKPldlGQHLw5Kh037v2s2awhO-gsMRdn3l4dcM0CQrP4lSM8ztepcnKB1wcPguuSQhOcAhVI7hGb7NPIHi6n&p=4&fvj=1&vjs=3,3 days ago
6,pj_98e331c4e8b8aa09,Boston,data+scientist,Perception Scientist for Marine Autonomy,Sea Machines Robotics Inc.,NOT_FOUND,"Based in Boston and operating globally, the company is crewed by an experienced team of mariners, engineers, coders, and autonomy scientists....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHdFIJfBLGYbx_TzBCBsgbK0Due77H36xmGRpY2MfZsJoW53LfYfjCE-IzkCRwATj29afdE3nXUxDkNOWpb9F8DqmXvlw6JI4zwd-Qv44Jg-VAgVr_QRXZYTSFmIZOrFpPdsJkCQmOtaR11KMr7trdAEv39C0ull-gspfmn-C2JLnZoGYt0yIqbhuZ14y-A-vhEpcTktmlN83jNIF4riX4g15jPhOELeBPUWuNcwM6VY77k0YcaiZtET2ILKSj8oamNNPx0Ddot9MfC2Z1HP-hG0vW4-BTLvwiFCbUpFhenCO1lBzc2P_59KCRHD1e8LLJGlw0OTCTSp-hKmiw8r2yE0CckpOVq1xfGv_2upPK3H9uiRX9zdaVSfJowFzWi5biRJZmu1P5Q7s4dQciJGFmofPQ8kIPdN25DTp6kPvjf0uNIODPxrCXkqdF2Z7EeqOSK1hxZbulow==&p=5&fvj=1&vjs=3,NOT_FOUND
7,pj_f2466dcd277e29a5,Boston,data+scientist,Data Engineer,CodaMetrix,NOT_FOUND,"The Data Engineer supports our analytics and customer onboarding teams, data scientists and software engineers on data initiatives and will ensure optimal data...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AkmEfxfIvywYkr7FPgbbzZtS80TzOGC0Qwk8jq8kfwxcmRMEv4cXPuZfJAU5O31GTL_JdkwETVduzew0F1YpirC14AjSkmQSNUiIpGQB9fvQJK1gAaR-MiXOZE8xjzpM-smgsX446RSSVLHzJOFTHUW7rWg5cma76tsRZwEjiq7hm1taOzVX9reKcnKXvyDtrqkPaDSoDXi0K8JWdlNvYsmRr3GystHQJApdhcbRm97qOFTyq-lHTfC1A_Uddqde01rrFVSESqzi9ublTig_XC1AAYfAxQnaD6bWb54bla0St0hWwJJwwOWZD6wG67gMduFX51DQ2ABgvX1caVQoo_LHJJpE_EEd4Y50pKd-FJNZ2ypdrTEuIyL1-E1BZbmyO3C8gIyNhydlFnFr-yMfO0xIVkjTW1Er-KQhTs7Xayv0hD4D2S9jrNQrPLSVDxYTI=&p=6&fvj=1&vjs=3,3 days ago
8,p_699342424ce92899,Boston,data+scientist,"Intern, Data Scientist",Oracle,"Burlington, MA","Data mining including classification and clustering algorithms; Write algorithmic specifications for forecasting, optimization, and data mining engines....","

                                    Similar jobs on Indeed pay $87,000 - $129,000 a year
",https://www.indeed.com/rc/clk?jk=699342424ce92899&fccid=cd22d01053af7669&vjs=3,7 days ago
9,p_cbdd8df1505ae4ad,Boston,data+scientist,Data Scientist,Pluralsight,"Boston, MA","You’ll work closely with an established team of top-notch, collaborative data scientists and you will collaborate with a cross-functional team that is...","

                                    Similar jobs on Indeed pay $83,000 - $123,000 a year
",https://www.indeed.com/rc/clk?jk=cbdd8df1505ae4ad&fccid=51dc2e5aecda9e29&vjs=3,21 hours ago
10,p_2195a12288499121,Boston,data+scientist,Data Scientist,Data+Math,"Boston, MA 02210 (South Boston area)","As a member of the Data Science team, you will have the opportunity to apply machine learning and statistical techniques to solve causal inference problems at...","

                                    Similar jobs on Indeed pay $108,000 - $160,000 a year
",https://www.indeed.com/rc/clk?jk=2195a12288499121&fccid=a1b622cd76ce185e&vjs=3,7 hours ago
11,p_beafa6595bb9a69d,Boston,data+scientist,"Full Time opportunities for students & recent graduates: Microsoft AI Development Acceleration Program: Data Scientist, Software Engineer, Program Manager",Microsoft,"Cambridge, MA 02142 (East Cambridge area)","Experience in data analysis, data visualization, machine learning/data mining/AI a plus. Knowledge of machine learning, data visualization, and AI a plus....","

                                    Similar jobs on Indeed pay $104,000 - $149,000 a year
",https://www.indeed.com/rc/clk?jk=beafa6595bb9a69d&fccid=734cb5a01ee60f80&vjs=3,5 months ago
12,p_d72617c09cbeee5f,Boston,data+scientist,Data Science - Predictive Analytics,Paytronix Systems,"Newton, MA","Ability to understand business needs and apply Data Science, Machine Learning, and predictive analytics to meet those needs....",NOT_FOUND,https://www.indeed.com/rc/clk?jk=d72617c09cbeee5f&fccid=b21b07a5dc052ed6&vjs=3,1 hour ago
