,unique_id,city,job_qry,job_title,company_name,summary,link,date,period,min_salary,max_salary,min_ago
8,p_63b3d1abd3a15c6e,New York,data+analyst,Data Analyst- Entry Level Job,KGS Technology Group Inc,Acquire data from primary or secondary data sources and maintain databases/data systems. We are looking for a passionate Data Analyst to turn data into...,https://www.indeed.com/company/KGS-Technology-Group-Inc/jobs/Data-Analyst-63b3d1abd3a15c6e?fccid=ce626fc72d7eb30c&vjs=3,9 days ago,year,50000.0,55000.0,12960
9,p_cab1183d430c6d47,New York,data+analyst,Data Analyst,"KGS Technology Group, Inc.",Data Analyst *. Acquire data from primary or secondary data sources and maintain databases/data systems_....,"https://www.indeed.com/company/KGS-Technology-Group,-Inc/jobs/Data-Analyst-cab1183d430c6d47?fccid=4d0ad496c4698d62&vjs=3",1 day ago,year,50000.0,70000.0,1440
11,p_8372d18a784078f6,New York,data+analyst,Data Analyst,KGS Technology Group Inc,"Designation – Data Analyst. Data analysts work with large amounts of data, including:. Who is a data analyst?...",https://www.indeed.com/company/KGS-Technology-Group-Inc/jobs/Data-Analyst-8372d18a784078f6?fccid=ce626fc72d7eb30c&vjs=3,8 days ago,year,50000.0,55000.0,11520
15,p_c24dee5660b454d3,New York,data+analyst,Data Analyst*** - Manhattan/New York,Lennon Wright Associates,Collect and interpret data. Work on an innovative and complex data analysis project. They have developed themselves as a truly innovative company and are...,https://www.indeed.com/company/Lennon-Wright-Associates/jobs/Data-Analyst-c24dee5660b454d3?fccid=614380d09db22ef8&vjs=3,9 days ago,year,90000.0,130000.0,12960
28,p_6ff243bb272b786c,New York,data+analyst,Technical Analyst or Business Analyst,"KMR Information Systems, Inc.","Data Analysis Skills:. Support maintenance of Clinical Information System (CIS) data dictionaries, definitions for applications, and data tables to support...","https://www.indeed.com/company/KMR-Information-Systems,-Inc./jobs/Technical-Analyst-or-Business-Analyst-6ff243bb272b786c?fccid=d6641962020ec381&vjs=3",5 hours ago,hour,104000.0,114400.0,300
46,p_8372d18a784078f6,New York,data+analyst,Data Analyst,KGS Technology Group Inc,"Designation – Data Analyst. Data analysts work with large amounts of data, including:. Who is a data analyst?...",https://www.indeed.com/company/KGS-Technology-Group-Inc/jobs/Data-Analyst-8372d18a784078f6?fccid=ce626fc72d7eb30c&vjs=3,8 days ago,year,50000.0,55000.0,11520
50,p_d5159d4704e5b28b,New York,data+analyst,"Manager, People - New York City, NY",Anheuser-Busch,"Draftline is a new internal creative agency at AB-Inbev- it is an agile team of strategists, designers, writers, editors, data analysts, producers, and...",https://www.indeed.com/rc/clk?jk=d5159d4704e5b28b&fccid=84c67dd9d990e840&vjs=3,16 days ago,year,86800.0,97650.0,23040
62,p_6ff243bb272b786c,New York,data+analyst,Technical Analyst or Business Analyst,"KMR Information Systems, Inc.","Data Analysis Skills:. Support maintenance of Clinical Information System (CIS) data dictionaries, definitions for applications, and data tables to support...","https://www.indeed.com/company/KMR-Information-Systems,-Inc./jobs/Technical-Analyst-or-Business-Analyst-6ff243bb272b786c?fccid=d6641962020ec381&vjs=3",5 hours ago,hour,104000.0,114400.0,300
63,p_9f9aca22b1896e53,New York,data+analyst,Business Analyst,Venture backed ad tech company,Proficiency with SQL and a data visualization tool such as Tableau. We are looking for an analyst whose business acumen and analytical skills will directly...,https://www.indeed.com/company/Yieldmo/jobs/Business-Analyst-9f9aca22b1896e53?fccid=f753820ac25a6fa0&vjs=3,8 hours ago,year,75000.0,130000.0,480
65,p_63b3d1abd3a15c6e,New York,data+analyst,Data Analyst- Entry Level Job,KGS Technology Group Inc,Acquire data from primary or secondary data sources and maintain databases/data systems. We are looking for a passionate Data Analyst to turn data into...,https://www.indeed.com/company/KGS-Technology-Group-Inc/jobs/Data-Analyst-63b3d1abd3a15c6e?fccid=ce626fc72d7eb30c&vjs=3,9 days ago,year,50000.0,55000.0,12960
69,p_20f4abe80c8a480a,New York,data+analyst,data analyst,Greater Buffalo United Accountable Healthcare Netw...,"The Data Analyst. The Data Analyst will have data management, analysis and reporting responsibilities. Compile, interpret and analyze health care data – this...",https://www.indeed.com/rc/clk?jk=20f4abe80c8a480a&fccid=8e04b2951ca98a05&vjs=3,30+ days ago,year,50000.0,60000.0,43200
71,p_e6052f95f0407e79,New York,data+analyst,"DATA ANALYST, BUSINESS OPERATIONS",New York City DEPARTMENT OF BUSINESS SERV.,"Data Analyst, Business Operations to:. The Data Analyst will be responsible for analyzing data across our citywide Centers and providers to gather insights that...",https://www.indeed.com/rc/clk?jk=e6052f95f0407e79&fccid=440af5e2ba263e19&vjs=3,30+ days ago,year,52524.0,65000.0,43200
78,p_6ff243bb272b786c,New York,data+analyst,Technical Analyst or Business Analyst,"KMR Information Systems, Inc.","Data Analysis Skills:. Support maintenance of Clinical Information System (CIS) data dictionaries, definitions for applications, and data tables to support...","https://www.indeed.com/company/KMR-Information-Systems,-Inc./jobs/Technical-Analyst-or-Business-Analyst-6ff243bb272b786c?fccid=d6641962020ec381&vjs=3",5 hours ago,hour,104000.0,114400.0,300
82,p_5b6168e32ec405ab,New York,data+analyst,Data Analyst- Commercial Banking Platform,DataAxxis,"Data Analyst *- Commercial Banking Platform. Strong Data analysis skills, data management, data quality, lineage....",https://www.indeed.com/company/DataAxxis/jobs/Data-Analyst-5b6168e32ec405ab?fccid=f3c0e1860babcae4&vjs=3,5 days ago,day,156000.0,182000.0,7200
101,p_fb8a53977f0bd266,New York,data+analyst,Business Intelligence Analyst,New York City TAXI & LIMOUSINE COMMISSION,Generate ad hoc reports with attention to detail and accuracy. The New York City Taxi and Limousine Commission (TLC) is the City agency responsible for...,https://www.indeed.com/rc/clk?jk=fb8a53977f0bd266&fccid=5e85d46ffb1578d0&vjs=3,30+ days ago,year,57000.0,61560.0,43200
114,p_8b1f1293d18f9278,New York,data+analyst,Entry Level Financial Analyst,Precise - Int,Mapping and analyzing quantitative data. The analyst will be responsible for providing financial analysis regarding all facets of the business for our client....,https://www.indeed.com/rc/clk?jk=8b1f1293d18f9278&fccid=34cef5f3021318f1&vjs=3,30+ days ago,year,51000.0,51000.0,43200
117,p_ab094db57069755a,New York,data+analyst,Data Entry Analysis Associate,Cisive,"At Cisive, our Data Entry Analyst Associate play a pivotal role in securing accurate pre-insurance and inspection information for our clients.Core duties for...",https://www.indeed.com/rc/clk?jk=ab094db57069755a&fccid=ceb736c32d3c5070&vjs=3,6 hours ago,hour,24960.0,24960.0,360
130,p_7a64e3a1bc66acdd,New York,data+analyst,Policy Analyst- Data,New York City TAXI & LIMOUSINE COMMISSION,"Prepare data for analysis by cleaning and removing outliers, work with team to develop scripts to clean data automatically, document data and analyses....",https://www.indeed.com/rc/clk?jk=7a64e3a1bc66acdd&fccid=5e85d46ffb1578d0&vjs=3,30+ days ago,year,48000.0,52524.0,43200
147,p_3ea8a617a2615fe8,New York,data+analyst,Business Analyst,"KGS Technology Group, Inc.","Business Analyst:  _This position provides support for division systems configuration, system testing and workflow processes. It also provides technical...","https://www.indeed.com/company/KGS-Technology-Group,-Inc/jobs/Business-Analyst-3ea8a617a2615fe8?fccid=4d0ad496c4698d62&vjs=3",14 days ago,year,50000.0,60000.0,20160
149,p_fb8a53977f0bd266,New York,data+analyst,Business Intelligence Analyst,New York City TAXI & LIMOUSINE COMMISSION,Generate ad hoc reports with attention to detail and accuracy. The New York City Taxi and Limousine Commission (TLC) is the City agency responsible for...,https://www.indeed.com/rc/clk?jk=fb8a53977f0bd266&fccid=5e85d46ffb1578d0&vjs=3,30+ days ago,year,57000.0,61560.0,43200
153,p_a8ccfc249161571d,New York,data+analyst,Business Analyst/Project Manager,Netlan Technology,5 - 6 months. 3 years (Required). Seeking a hybrid BA/PM for a 6 month assignment in NYC....,https://www.indeed.com/company/Netlan/jobs/Business-Analyst-Project-Manager-a8ccfc249161571d?fccid=59b884d551a2a93d&vjs=3,4 hours ago,day,117000.0,169000.0,240
168,p_d38f7bcfe038c0aa,New York,data+analyst,Taxpayer Business Analyst for Data Analytics & Program Evaluation,New York City DEPARTMENT OF FINANCE,"NYC Department of Finance (DOF) is responsible for administering the tax revenue laws of the city fairly, efficiently, and transparently to instill public...",https://www.indeed.com/rc/clk?jk=d38f7bcfe038c0aa&fccid=4500f579ddd13a3b&vjs=3,12 days ago,year,87768.0,88040.0,17280
169,p_1e88130bfaddb9b8,New York,data+analyst,"Senior Analyst, Enterprise Data Services",Mayor's Office of Contract Services,"Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amount of information with attention to detail and accuracy...",https://www.indeed.com/rc/clk?jk=1e88130bfaddb9b8&fccid=945d7a690b140009&vjs=3,30+ days ago,year,60000.0,75000.0,43200
170,p_4f87db52318bcd1f,New York,data+analyst,Program Data Analyst,New York City TAXI & LIMOUSINE COMMISSION,The New York City Taxi and Limousine Commission (TLC) establishes and enforces professional and uniform standards of for-hire transportation service and...,https://www.indeed.com/rc/clk?jk=4f87db52318bcd1f&fccid=5e85d46ffb1578d0&vjs=3,30+ days ago,year,52524.0,62000.0,43200
190,p_298d10259c42fc82,New York,data+analyst,Quantitative Research Analyst (Part-time),ACLU,"Quantitative Research Analyst. Quantitative Research Analyst (Part-time). Data cleaning, coding, and formatting;...",https://www.indeed.com/rc/clk?jk=298d10259c42fc82&fccid=b386980fa584d9b2&vjs=3,8 days ago,hour,41600.0,41600.0,11520
205,p_e6052f95f0407e79,New York,data+analyst,"DATA ANALYST, BUSINESS OPERATIONS",New York City DEPARTMENT OF BUSINESS SERV.,High attention to detail. The Data Analyst for Business Operations will be part of the Business Operations Team within the Division of Business Services (DBS)....,https://www.indeed.com/rc/clk?jk=e6052f95f0407e79&fccid=440af5e2ba263e19&vjs=3,4 months ago,year,52524.0,65000.0,172800
219,p_c5fa0cabf6d1e01c,New York,data+analyst,Reporting Data Analyst,Fleetcor,"Collaborate with users to understand business intent, translate to data requirements and deliver timely and accurate data to meet aggressive deadlines....",https://www.indeed.com/rc/clk?jk=c5fa0cabf6d1e01c&fccid=7a1eff1fe8dbc847&vjs=3,22 days ago,year,37027.0,37027.0,31680
220,p_d519ecf5851f8aa4,New York,data+analyst,"Data Scientist, Studios Analytics",Spotify,"To help us achieve this, the Data Scientist will build out an efficient analytics services suite so that we can craft common data layers, build impactful...",https://www.indeed.com/rc/clk?jk=d519ecf5851f8aa4&fccid=fe404d18bb9eef1e&vjs=3,30+ days ago,year,109000.0,161000.0,43200
221,p_fa7fdea1e7ea4c08,New York,data+analyst,"Data Analyst, PNA",New York City NYC HOUSING AUTHORITY,"Ability to create, modify and update reports utilizing various department data sources. Utilize the Physical Needs Assessment database and data collected from...",https://www.indeed.com/rc/clk?jk=fa7fdea1e7ea4c08&fccid=969b19518dd1ab0f&vjs=3,30+ days ago,year,72476.0,106222.0,43200
243,p_cbc50d74b68219d2,New York,data+analyst,Senior Business Analyst,National Hockey League,"The ideal candidate will have a bachelor's degree in Finance / Accounting, Business Administration or related field and a minimum of 3 years of hands-on...",https://www.indeed.com/rc/clk?jk=cbc50d74b68219d2&fccid=9636c525266d3ed0&vjs=3,21 hours ago,year,81000.0,121000.0,1260
244,p_95ac150e0a14d6c6,New York,data+analyst,DATA AND OPERATIONS ANALYST,New York City DEPARTMENT OF BUSINESS SERV.,Outstanding quantitative analysis skills and attention to detail; The Division of Economic and Financial Opportunity (DEFO) is committed to encouraging a...,https://www.indeed.com/rc/clk?jk=95ac150e0a14d6c6&fccid=440af5e2ba263e19&vjs=3,30+ days ago,year,46818.0,62000.0,43200
279,p_79180f7206f86052,New York,data+analyst,"Lead Analyst, Data Management - Operations Generalist",BNY Mellon,"Provides guidance to more junior analysts. Under moderate guidance, works with internal and external datasets and client reference data and provides analysis in...",https://www.indeed.com/company/BNY-Mellon/jobs/Lead-Analyst-79180f7206f86052?fccid=b4048be2884af072&vjs=3,30+ days ago,year,60000.0,60000.0,43200
308,p_5b6168e32ec405ab,New York,data+analyst,Data Analyst- Commercial Banking Platform,DataAxxis,*Data Analyst - Commercial Banking Platform Job Location: * New York City Commercial Banking Platform Upgrade – Data Analyst – midtown NYC Knowledge...,https://www.indeed.com/company/DataAxxis/jobs/Data-Analyst-5b6168e32ec405ab?fccid=f3c0e1860babcae4&vjs=3,5 days ago,day,156000.0,182000.0,7200
313,p_5f8e86b5095b72ab,New York,data+analyst,Data Analytics Specialist,New York City DEPT OF DESIGN & CONSTRUCTION,Only candidates who are permanent in the Computer Associate (Software) title or those who are reachable on the Open-Competitive exam (Exam #7002) may apply....,https://www.indeed.com/rc/clk?jk=5f8e86b5095b72ab&fccid=e3de764ed0a4fd32&vjs=3,30+ days ago,year,74354.0,108846.0,43200
315,p_e016ffbeb9bffec1,New York,data+analyst,BUSINESS ANALYST,New York City FINANCIAL INFO SVCS AGENCY,Decomposing business requirements into detail designs that may cover items such as:. The Financial Information Services Agency and the Office of Payroll...,https://www.indeed.com/rc/clk?jk=e016ffbeb9bffec1&fccid=8ad805fbb70168d6&vjs=3,12 days ago,year,75000.0,130000.0,17280
324,p_3ec6983c629fcfad,New York,data+analyst,Data & Policy Analyst,New York State Homes and Community Renewal/HTFC,"DATA AND POLICY ANALYST. Work with a team of GIS, data, and research analysts in the development and maintenance of performance management reports and ad hoc...",https://www.indeed.com/company/NYS-Homes-and-Community-Renewal/jobs/Data-Policy-Analyst-3ec6983c629fcfad?fccid=4e66e0592fa472cf&vjs=3,30+ days ago,year,65000.0,75000.0,43200
327,p_2867d83ba7ac7cba,New York,data+analyst,Data Analyst,New York City DEPT OF HEALTH/MENTAL HYGIENE,"Lead the development of datasets, data tables, and data reporting for matching activities between the BHIV data collection system, Electronic System for HIV...",https://www.indeed.com/rc/clk?jk=2867d83ba7ac7cba&fccid=4146d8487cdbf799&vjs=3,30+ days ago,year,73305.0,91045.0,43200
332,p_f79aa6cce3fe1fff,New York,data+analyst,Policy and Data Research Analyst,The New York City Campaign Finance Board (CFB),Policy and Data Research Analyst. The New York City Campaign Finance Board seeks a Policy & Data Research Analyst to perform original research to help inform...,https://www.indeed.com/rc/clk?jk=f79aa6cce3fe1fff&fccid=6aba83ec2b1d5d17&vjs=3,30+ days ago,year,55000.0,65000.0,43200
